"","username","degree","indegree","outdegree","closeness","betweenness","hub","authority","clusterCoefficient","egenvector.centrality","page.rank"
"1853","CLOFIDA","0.00000","0.00000","0.0033","0.083","0.0000","1.0e-05","7.0e-20","0.0e+00","6.4e-06","1.1e-19"
"1854","Fede_cs","0.00088","0.00000","0.0131","0.083","0.0000","2.6e-06","9.1e-18","0.0e+00","1.5e-06","1.1e-19"
"1855","fntobar","0.00088","0.00000","0.0131","0.582","0.0000","1.0e-02","9.1e-18","3.3e-01","7.2e-03","1.1e-19"
"1856","Carito_ortiz","0.00000","0.00000","0.0033","0.083","0.0000","1.1e-05","7.0e-20","0.0e+00","7.2e-06","1.1e-19"
"1857","Borisvidela","0.00000","0.00000","0.0033","0.083","0.0000","1.1e-05","7.0e-20","0.0e+00","7.2e-06","1.1e-19"
"1858","asdftion","0.00176","0.00000","0.0229","0.083","0.0000","4.5e-06","1.7e-17","0.0e+00","2.6e-06","1.1e-19"
"1859","pereira_felipe","0.00000","0.00000","0.0033","0.083","0.0000","6.4e-07","7.0e-20","0.0e+00","3.7e-07","1.1e-19"
"1860","ecoschile","0.00000","0.00000","0.0033","0.083","0.0000","3.6e-05","7.0e-20","0.0e+00","2.2e-05","1.1e-19"
"1861","meli1611","0.00000","0.00000","0.0033","0.582","0.0000","3.6e-03","7.0e-20","0.0e+00","3.2e-03","1.1e-19"
"1862","wfsanhueza","0.00000","0.00000","0.0033","0.083","0.0000","0.0e+00","7.0e-20","0.0e+00","4.0e-20","1.1e-19"
"1863","duribearanda","0.00000","0.00000","0.0033","0.582","0.0000","3.6e-03","7.0e-20","0.0e+00","3.2e-03","1.1e-19"
"1864","CamSaezQ","0.00000","0.00000","0.0033","0.582","0.0000","3.2e-04","7.0e-20","0.0e+00","6.2e-04","1.1e-19"
"1865","Gonmalo","0.00029","0.00000","0.0065","0.083","0.0000","2.2e-05","3.1e-18","0.0e+00","1.4e-05","1.1e-19"
"1866","toti_ibarra","0.00000","0.00000","0.0033","0.083","0.0000","0.0e+00","7.0e-20","0.0e+00","1.0e-19","1.1e-19"
"1867","andococinando","0.00000","0.00000","0.0033","0.083","0.0000","0.0e+00","7.0e-20","0.0e+00","2.1e-19","1.1e-19"
"1868","elinauta80","0.00000","0.00000","0.0033","0.083","0.0000","3.6e-05","7.0e-20","0.0e+00","2.2e-05","1.1e-19"
"1869","milocamilo","0.00000","0.00000","0.0033","0.083","0.0000","3.6e-05","7.0e-20","0.0e+00","2.2e-05","1.1e-19"
"1870","GAndreotti","0.00000","0.00000","0.0033","0.083","0.0000","3.6e-05","7.0e-20","0.0e+00","2.2e-05","1.1e-19"
"1873","cursosjavier","0.00000","0.00000","0.0033","0.582","0.0000","3.2e-04","7.0e-20","0.0e+00","6.2e-04","1.1e-19"
"1874","vgtariana","0.00000","0.00000","0.0033","0.083","0.0000","1.1e-05","7.0e-20","0.0e+00","7.2e-06","1.1e-19"
"1875","MacaMatas","0.00059","0.00000","0.0098","0.166","0.0000","9.5e-03","5.5e-18","3.3e-01","6.6e-03","1.1e-19"
"1876","belenlr","0.00088","0.00000","0.0131","0.083","0.0000","1.8e-02","9.1e-18","0.0e+00","1.2e-02","1.1e-19"
"1877","SoledadOnetto","0.00000","0.00000","0.0033","0.083","0.0000","4.5e-03","7.0e-20","0.0e+00","3.1e-03","1.1e-19"
"1878","profesionalguia","0.00000","0.00000","0.0033","0.083","0.0000","4.5e-03","7.0e-20","0.0e+00","3.1e-03","1.1e-19"
"1879","Jmsumonte","0.00000","0.00000","0.0033","0.083","0.0000","4.5e-03","7.0e-20","0.0e+00","3.1e-03","1.1e-19"
"1880","mplazago","0.00000","0.00000","0.0033","0.083","0.0000","4.5e-03","7.0e-20","0.0e+00","3.1e-03","1.1e-19"
"1881","jvillarroelpto","0.00000","0.00000","0.0033","0.083","0.0000","4.5e-03","7.0e-20","0.0e+00","3.1e-03","1.1e-19"
"1882","matias_mellado","0.00147","0.00000","0.0196","0.166","0.0000","1.8e-02","1.4e-17","0.0e+00","1.2e-02","1.1e-19"
"1883","dagustino","0.00059","0.00000","0.0098","0.166","0.0000","9.0e-03","5.5e-18","0.0e+00","6.2e-03","1.1e-19"
"1884","helenaherting","0.00000","0.00000","0.0033","0.083","0.0000","4.5e-03","7.0e-20","0.0e+00","3.1e-03","1.1e-19"
"1885","akros_cl","0.00000","0.00000","0.0033","0.083","0.0000","4.5e-03","7.0e-20","0.0e+00","3.1e-03","1.1e-19"
"1886","Alfredo90","0.00000","0.00000","0.0033","0.083","0.0000","4.5e-03","7.0e-20","0.0e+00","3.1e-03","1.1e-19"
"1887","Fjavierbeltran","0.00029","0.00000","0.0065","0.166","0.0000","9.6e-04","3.1e-18","0.0e+00","7.1e-04","1.1e-19"
"1888","AlejoGamba","0.00000","0.00000","0.0033","0.083","0.0000","3.6e-05","7.0e-20","0.0e+00","2.2e-05","1.1e-19"
"1889","maca_silvaa","0.00059","0.00000","0.0098","0.083","0.0000","2.6e-06","5.5e-18","0.0e+00","1.6e-06","1.1e-19"
"1890","ramonmalleaa","0.00176","0.00000","0.0229","0.083","0.0000","3.9e-05","1.7e-17","0.0e+00","2.5e-05","1.1e-19"
"1891","sciologo","0.00029","0.00000","0.0065","0.083","0.0000","0.0e+00","3.1e-18","0.0e+00","2.8e-18","1.1e-19"
"1892","pabloeguzman","0.00528","0.00000","0.0621","0.083","0.0000","0.0e+00","5.0e-17","0.0e+00","4.6e-17","1.1e-19"
"1894","kdekafkiano","0.00029","0.00000","0.0065","0.083","0.0000","0.0e+00","3.1e-18","0.0e+00","3.0e-18","1.1e-19"
"1895","jcibanez","0.00000","0.00000","0.0033","0.582","0.0000","3.2e-04","7.0e-20","0.0e+00","6.2e-04","1.1e-19"
"1896","kiltrak","0.00000","0.00000","0.0033","0.083","0.0000","1.0e-05","7.0e-20","0.0e+00","6.4e-06","1.1e-19"
"1897","moragga","0.00000","0.00000","0.0033","0.083","0.0000","1.6e-09","7.0e-20","0.0e+00","8.6e-10","1.1e-19"
"1898","Ktabel","0.00000","0.00000","0.0033","0.083","0.0000","3.6e-05","7.0e-20","0.0e+00","2.2e-05","1.1e-19"
"1899","belemunoz","0.00029","0.00000","0.0065","0.083","0.0000","2.2e-08","3.1e-18","0.0e+00","1.2e-08","1.1e-19"
"1900","VictorGuarachi","0.00029","0.00000","0.0065","0.332","0.0000","4.7e-03","3.1e-18","1.0e+00","3.2e-03","1.1e-19"
