"","username","degree","indegree","outdegree","closeness","betweenness","hub","authority","clusterCoefficient","egenvector.centrality","page.rank"
"497","gjdotte",0.000587026709715292,0,0.00980392156862745,0.0830362267887068,0,0.0135508080736265,5.48705962029467e-18,0,0.0093379546148612,1.06425143268007e-19
"498","Donare",0.000293513354857646,0,0.0065359477124183,0.0830362267887068,0,0.00903387204908432,2.95457056477405e-18,0,0.00622530307657413,1.06425143268007e-19
"499","mjcalvimontes",0,0,0.00326797385620915,0.0830362267887068,0,0.00451693602454216,0,0,0.00311265153828707,1.06425143268007e-19
"500","rdparedes",0,0,0.00326797385620915,0.0830362267887068,0,0.00451693602454216,0,0,0.00311265153828707,1.06425143268007e-19
"501","gabitach",0,0,0.00326797385620915,0.0830362267887068,0,0.00451693602454216,0,0,0.00311265153828707,1.06425143268007e-19
"502","nachoulloa",0.000293513354857646,0,0.0065359477124183,0.582270299965584,0,0.00813097155137253,2.95457056477405e-18,1,0.00627461121097394,1.06425143268007e-19
"503","PaoZamoranoM",0.000293513354857646,0,0.0065359477124183,0.0830362267887068,0,0.00903387204908432,2.95457056477405e-18,0,0.00622530307657413,1.06425143268007e-19
"504","NicoSCL",0,0,0.00326797385620915,0.0830362267887068,0,0.00451693602454216,0,0,0.00311265153828707,1.06425143268007e-19
"505","avilche",0.000587026709715292,0,0.00980392156862745,0.0830362267887068,0,0.0135508080736265,5.48705962029467e-18,0,0.0093379546148612,1.06425143268007e-19
"506","OHerrera10",0,0,0.00326797385620915,0.0830362267887068,0,0.00451693602454216,0,0,0.00311265153828707,1.06425143268007e-19
"507","sellamaconi",0,0,0.00326797385620915,0.0830362267887068,0,0.00451693602454216,0,0,0.00311265153828707,1.06425143268007e-19
"508","patobarrios",0,0,0.00326797385620915,0.0830362267887068,0,0.00451693602454216,0,0,0.00311265153828707,1.06425143268007e-19
"509","pbmartinez",0,0,0.00326797385620915,0.0830362267887068,0,0.00451693602454216,0,0,0.00311265153828707,1.06425143268007e-19
"510","psicologa_solis",0,0,0.00326797385620915,0.0830362267887068,0,0.00451693602454216,0,0,0.00311265153828707,1.06425143268007e-19
"511","musicbar",0,0,0.00326797385620915,0.0830362267887068,0,0.00451693602454216,0,0,0.00311265153828707,1.06425143268007e-19
"512","Contrerotas",0,0,0.00326797385620915,0.0830362267887068,0,0.00451693602454216,0,0,0.00311265153828707,1.06425143268007e-19
"513","KuraiTenshin",0,0,0.00326797385620915,0.0830362267887068,0,0.00451693602454216,0,0,0.00311265153828707,1.06425143268007e-19
"514","daniela_ewertz",0,0,0.00326797385620915,0.0830362267887068,0,0.00451693602454216,0,0,0.00311265153828707,1.06425143268007e-19
"515","HeeyItsFraan",0,0,0.00326797385620915,0.0830362267887068,0,0.00451693602454216,0,0,0.00311265153828707,1.06425143268007e-19
"516","azuquitarnegra",0,0,0.00326797385620915,0.0830362267887068,0,0.00451693602454216,0,0,0.00311265153828707,1.06425143268007e-19
"517","EtereoMusicStar",0,0,0.00326797385620915,0.0830362267887068,0,0.00451693602454216,0,0,0.00311265153828707,1.06425143268007e-19
"518","_chunchuna_",0,0,0.00326797385620915,0.0830362267887068,0,0.00451693602454216,0,0,0.00311265153828707,1.06425143268007e-19
"519","sewarsh",0,0,0.00326797385620915,0.0830362267887068,0,0.00451693602454216,0,0,0.00311265153828707,1.06425143268007e-19
"520","orlandoavalos",0,0,0.00326797385620915,0.0830362267887068,0,0.00451693602454216,0,0,0.00311265153828707,1.06425143268007e-19
"521","jotabe_90",0,0,0.00326797385620915,0.0830362267887068,0,0.00451693602454216,0,0,0.00311265153828707,1.06425143268007e-19
"522","ConsueloEdwards",0,0,0.00326797385620915,0.0830362267887068,0,0.00451693602454216,0,0,0.00311265153828707,1.06425143268007e-19
"523","Pablojano",0.000293513354857646,0,0.0065359477124183,0.0830362267887068,0,0.00903387204908432,2.95457056477405e-18,0,0.00622530307657413,1.06425143268007e-19
"524","Mrpincho",0,0,0.00326797385620915,0.0830362267887068,0,0.00451693602454216,0,0,0.00311265153828707,1.06425143268007e-19
"525","heysebs",0,0,0.00326797385620915,0.0830362267887068,0,0.00451693602454216,0,0,0.00311265153828707,1.06425143268007e-19
"526","musa_de_lirio",0,0,0.00326797385620915,0.0830362267887068,0,0.00451693602454216,0,0,0.00311265153828707,1.06425143268007e-19
"527","CartesFabian",0,0,0.00326797385620915,0.0830362267887068,0,0.00451693602454216,0,0,0.00311265153828707,1.06425143268007e-19
"528","Willy1103",0,0,0.00326797385620915,0.0830362267887068,0,0.00451693602454216,0,0,0.00311265153828707,1.06425143268007e-19
"529","jcif_arq",0,0,0.00326797385620915,0.0830362267887068,0,0.00451693602454216,0,0,0.00311265153828707,1.06425143268007e-19
"530","milosinDread",0,0,0.00326797385620915,0.0830362267887068,0,0.00451693602454216,0,0,0.00311265153828707,1.06425143268007e-19
"531","nikomarcos",0,0,0.00326797385620915,0.0830362267887068,0,0.00451693602454216,0,0,0.00311265153828707,1.06425143268007e-19
"532","Peeeluche",0,0,0.00326797385620915,0.0830362267887068,0,0.00451693602454216,0,0,0.00311265153828707,1.06425143268007e-19
"533","RichardCerda",0,0,0.00326797385620915,0.0830362267887068,0,0.00451693602454216,0,0,0.00311265153828706,1.06425143268007e-19
"534","gocafi",0,0,0.00326797385620915,0.0830362267887068,0,0.00451693602454216,0,0,0.00311265153828707,1.06425143268007e-19
"535","vitocotopo_2",0,0,0.00326797385620915,0.0830362267887068,0,0.00451693602454216,0,0,0.00311265153828707,1.06425143268007e-19
"536","mzmatnet",0,0,0.00326797385620915,0.0830362267887068,0,0.00451693602454216,0,0,0.00311265153828707,1.06425143268007e-19
